,Gene_symbol
0,ABL2
1,AFF3
2,AKT1
3,ALK
4,APC
5,APOBEC3B
6,ARHGEF12
7,ARID1A
8,ARID1B
9,ASXL1
10,ATM
11,BAP1
12,BARD1
13,BLM
14,BRAF
15,BRCA1
16,BRCA2
17,BRIP1
18,CACNA1D
19,CASP8
20,CBFB
21,CCND1
22,CDH1
23,CDKN1B
24,CDKN2A
25,CHEK2
26,CLTC
27,CREBBP
28,CTCF
29,CTNNB1
30,CUX1
31,DDX3X
32,DICER1
33,EGFR
34,ELN
35,EP300
36,EPAS1
37,EPHA3
38,ERBB2
39,ERBB3
40,ERBB4
41,ESR1
42,ETV5
43,ETV6
44,FAT1
45,FAT3
46,FAT4
47,FBXW7
48,FGFR2
49,FOXA1
50,GATA1
51,GATA3
52,GNAS
53,GRIN2A
54,HIST1H3B
55,HOXC13
56,HOXD13
57,HRAS
58,HSP90AA1
59,IRS4
60,JAK2
61,KAT6B
62,KDM6A
63,KEAP1
64,KLF4
65,KMT2C
66,KMT2D
67,KRAS
68,LRP1B
69,MAP2K4
70,MAP3K1
71,MAP3K13
72,MAX
73,MDM2
74,MDM4
75,MEN1
76,MTOR
77,MYC
78,MYH11
79,MYH9
80,MYO5A
81,NCOA1
82,NCOR1
83,NCOR2
84,NF1
85,NIN
86,NONO
87,NOTCH1
88,NOTCH2
89,NTRK1
90,NTRK3
91,NUMA1
92,PALB2
93,PBRM1
94,PDGFRB
95,PIK3CA
96,PIK3R1
97,PLAG1
98,POLD1
99,POLQ
100,PPM1D
101,PREX2
102,PTEN
103,PTK6
104,PTPN13
105,PTPRD
106,RB1
107,RGS7
108,RHPN2
109,RUNX1
110,SALL4
111,SF3B1
112,SMAD2
113,SMAD4
114,SMARCD1
115,SPEN
116,TBX3
117,TERT
118,TP53
119,USP6
120,WRN
121,ZBTB16
122,ZFHX3
123,ZXDB
