,Gene_symbol
0,ACVR2A
1,AKT1
2,AMER1
3,APC
4,ARID1A
5,ARID1B
6,ATM
7,AXIN1
8,AXIN2
9,B2M
10,BAX
11,BCL9
12,BCL9L
13,BCOR
14,BCORL1
15,BIRC6
16,BLM
17,BMPR1A
18,BRAF
19,BRCA2
20,CARD11
21,CCDC6
22,CDKN2A
23,CTNNB1
24,CUX1
25,DICER1
26,DUSP16
27,EGFR
28,EIF3E
29,EP300
30,EPHA3
31,ERBB2
32,ERBB3
33,FANCD2
34,FAT3
35,FAT4
36,FBXW7
37,FLCN
38,GNAS
39,GRIN2A
40,HIF1A
41,HRAS
42,HSPG2
43,KDM6A
44,KMT2C
45,KRAS
46,LATS1
47,LRP1B
48,MAP2K1
49,MAP2K4
50,MAP3K1
51,MAX
52,MDM2
53,MLH1
54,MSH2
55,MSH6
56,MTCP1
57,MTOR
58,MUTYH
59,MYC
60,MYH9
61,NBEA
62,NCOR2
63,NF1
64,NIN
65,NRAS
66,PARP4
67,PCBP1
68,PIK3CA
69,PIK3R1
70,PMS2
71,POLE
72,PPP2R1A
73,PTEN
74,PTK6
75,PTPN11
76,PTPRC
77,PTPRK
78,PTPRT
79,QKI
80,RAD21
81,RBM10
82,RNF43
83,RNF6
84,RSPO2
85,RSPO3
86,SALL4
87,SFRP4
88,SIRPA
89,SMAD2
90,SMAD3
91,SMAD4
92,SMARCA4
93,SOX9
94,SRC
95,TBL1XR1
96,TBX3
97,TCF7L2
98,TERT
99,TGFBR2
100,TGIF1
101,TP53
102,UBR5
103,USP6
104,WDCP
105,WNK2
106,WRN
