,Gene_symbol
0,APC
1,ARID1A
2,ARID2
3,ATF7IP
4,ATM
5,BLM
6,BRAF
7,BTK
8,CDC73
9,CDH10
10,CDKN2A
11,CIC
12,CLIP1
13,CMTR2
14,CTNNB1
15,CUX1
16,DICER1
17,EGFR
18,EPHA7
19,ERBB2
20,EZH2
21,FAT4
22,FLT4
23,GRIN2A
24,HIF1A
25,HRAS
26,KDM6A
27,KDR
28,KEAP1
29,KMT2C
30,KRAS
31,LRIG3
32,LRP1B
33,MAP2K1
34,MB21D2
35,MDM2
36,MGA
37,MTOR
38,MYC
39,MYCL
40,NCOA2
41,NF1
42,NOTCH1
43,NRAS
44,PBRM1
45,PIK3CA
46,PTK6
47,PTPN13
48,PTPRT
49,RAD21
50,RB1
51,RBM10
52,RET
53,RGS7
54,SETD2
55,SMARCA4
56,STK11
57,STRN
58,TERT
59,TP53
60,U2AF1
61,WRN
