,Gene_symbol
0,ACVR2A
1,AKT2
2,APC
3,ARID1A
4,ARID1B
5,ARID2
6,ATM
7,ATRX
8,BAP1
9,BCL11B
10,BCORL1
11,BIRC6
12,BLM
13,BRCA2
14,CDH10
15,CDKN2A
16,CTNNB1
17,CUX1
18,DAXX
19,DCC
20,DICER1
21,EP300
22,ERBB2
23,FAM135B
24,FAT1
25,FAT3
26,FAT4
27,FBXW7
28,GNAS
29,HIF1A
30,HRAS
31,IRS4
32,KDM6A
33,KMT2C
34,KMT2D
35,KRAS
36,LATS1
37,LRP1B
38,LZTR1
39,MAP2K4
40,MARK2
41,MDM2
42,MEN1
43,MTOR
44,MYC
45,NBEA
46,NF2
47,NFATC2
48,NRAS
49,PCBP1
50,PEG3
51,PIK3CA
52,PREX2
53,PTK6
54,RBM10
55,RNF43
56,SETD1B
57,SETD2
58,SF3B1
59,SMAD3
60,SMAD4
61,SMARCA4
62,SPEN
63,STK11
64,TERT
65,TGFBR2
66,TP53
67,U2AF1
68,VAV1
69,WRN
70,WT1
71,ZFHX3
72,ZNF521
