,Gene_symbol
0,ACSL3
1,AKT1
2,AKT3
3,ALK
4,APC
5,AR
6,ARID1A
7,ASXL1
8,ATM
9,AXIN1
10,BLM
11,BRAF
12,BRCA2
13,BRD4
14,CANT1
15,CASZ1
16,CDK12
17,CDKN1B
18,CDKN2A
19,CNOT3
20,CTNNB1
21,CUL3
22,CUX1
23,DCAF12L2
24,DDX5
25,DICER1
26,DNMT3A
27,EHD2
28,EIF1AX
29,ELK4
30,EPHA3
31,EPS15
32,ERBB2
33,ERBB3
34,ERG
35,ETV1
36,ETV4
37,ETV5
38,FAM174B
39,FAT1
40,FAT3
41,FAT4
42,FGFR1
43,FOXA1
44,FOXP1
45,HERPUD1
46,HNRNPA2B1
47,HRAS
48,IDH1
49,JAK1
50,KAT6A
51,KAT6B
52,KDM6A
53,KLF6
54,KLK2
55,KMT2A
56,KMT2C
57,KMT2D
58,KRAS
59,LRP1B
60,LZTR1
61,MDM2
62,MECOM
63,MED12
64,MTOR
65,MYC
66,MYH11
67,NCOR1
68,NCOR2
69,NDRG1
70,NOTCH2
71,NRAS
72,PIK3CA
73,PIK3CB
74,PMS2
75,PRDM1
76,PREX2
77,PTEN
78,PTK6
79,PTPRD
80,RAF1
81,RANBP2
82,RB1
83,RBFOX1
84,RHOA
85,RNF213
86,RNF43
87,RUNX1T1
88,SALL4
89,SETD2
90,SF3B1
91,SLC45A3
92,SMAD4
93,SMARCA1
94,SOX21
95,SPEN
96,SPOP
97,STRN
98,SUZ12
99,TERT
100,TMPRSS2
101,TP53
102,TRIM24
103,U2AF1
104,USP6
105,WRN
106,XPO1
107,ZBTB16
108,ZFHX3
109,ZNF429
