,Gene_symbol
0,ACVR2A
1,APC
2,ARHGEF10L
3,ARID1A
4,ARID2
5,ATR
6,AXIN2
7,BCL9L
8,BCOR
9,BLM
10,BMPR1A
11,BMPR2
12,BRAF
13,CASP8
14,CDH1
15,CDH11
16,CDKN2A
17,CTNNB1
18,CUX1
19,DCSTAMP
20,DICER1
21,ERBB2
22,ERBB3
23,ERBB4
24,FBXW7
25,FGFR2
26,GRIN2A
27,HRAS
28,KDM6A
29,KMT2D
30,KRAS
31,MAP2K7
32,MDM2
33,MTOR
34,MYC
35,NIN
36,PIK3CA
37,POLE
38,PPP3CA
39,PRF1
40,PRKCB
41,PRRX1
42,PTEN
43,PTK6
44,PTPN13
45,PTPRT
46,RHOA
47,RNF43
48,SDC4
49,SFRP4
50,SMAD4
51,SOHLH2
52,TERT
53,TOP2A
54,TP53
55,TRIM49C
56,UBR5
57,WRN
58,ZFHX3
